Kejadian,KELURAHAN,RAIN_D-1,RAINFALL_D-1,RAIN_LAST3D,ARAINFALL_LAST3D,RAIN_LAST7D,RAINFALL_LAST7D,TEPS_OF_DAY,CIPINANG HULU,SUNTER HULU,PULO GADUNG
326,0,cawang,0,0.0,0,17.0,0,79.0,0,80,100,330
327,0,cawang,0,0.0,0,0.0,0,0.0,0,90,100,330
328,0,cawang,0,0.0,0,0.0,0,10.0,0,75,80,330
329,0,cawang,0,0.0,0,0.0,0,0.0,0,110,115,330
330,0,cawang,0,0.0,0,0.0,0,0.0,0,80,90,330
331,0,cawang,0,0.0,0,7.0,0,19.0,0,85,80,330
332,0,cawang,0,0.0,0,34.0,0,34.0,0,75,80,330
333,0,cawang,0,0.0,0,4.0,0,6.0,0,95,110,330
334,0,cawang,0,0.0,0,0.0,0,6.0,0,80,80,330
335,0,cawang,0,0.0,0,4.0,0,4.0,0,90,80,330
336,0,cawang,0,0.0,0,1.0,0,14.0,0,80,80,330
337,0,cawang,0,0.0,0,8.0,0,53.0,0,100,125,330
338,0,cawang,0,0.0,0,39.0,0,94.0,0,100,100,330
339,0,cawang,0,0.0,0,25.0,0,30.0,0,110,100,440
340,0,cawang,0,0.0,0,15.0,0,67.0,0,90,90,330
341,0,cawang,0,0.0,0,25.0,0,37.0,0,90,105,330
342,0,cawang,0,0.0,0,44.0,0,159.0,0,105,105,330
343,0,cawang,0,0.0,0,17.0,0,25.0,0,155,160,450
344,0,cawang,0,0.0,0,0.0,0,22.0,0,90,100,330
345,0,cawang,0,0.0,0,0.0,0,33.0,0,95,80,330
346,0,cawang,0,0.0,0,0.0,0,2.5,0,80,70,330
347,0,cawang,0,0.0,0,0.0,0,0.0,0,75,50,330
348,0,cawang,1,14.0,0,12.0,0,13.0,1,110,70,370
349,0,cawang,0,0.0,0,0.0,0,23.5,0,75,50,400
350,0,cawang,0,0.0,0,33.5,0,80.0,0,90,100,330
351,0,cawang,0,0.0,0,0.0,0,0.0,0,80,55,330
352,0,cawang,1,4.0,0,0.0,0,68.5,1,90,90,330
353,0,cawang,1,1.0,0,0.0,0,0.0,1,85,50,330
354,0,cawang,0,0.0,0,0.0,0,0.0,0,90,60,330
355,0,cililitan,0,0.0,0,77.0,0,160.0,0,80,100,330
356,0,cililitan,0,0.0,0,17.0,0,79.0,0,80,100,330
357,0,cililitan,0,0.0,0,0.0,0,0.0,0,90,100,330
358,0,cililitan,0,0.0,0,0.0,0,10.0,0,75,80,330
359,0,cililitan,0,0.0,0,0.0,0,0.0,0,110,115,330
360,0,cililitan,0,0.0,0,0.0,0,0.0,0,80,90,330
361,0,cililitan,0,0.0,0,7.0,0,19.0,0,85,80,330
362,0,cililitan,0,0.0,0,34.0,0,34.0,0,75,80,330
363,0,cililitan,0,0.0,0,4.0,0,6.0,0,95,110,330
364,0,cililitan,0,0.0,0,0.0,0,6.0,0,80,80,330
365,0,cililitan,0,0.0,0,4.0,0,4.0,0,90,80,330
366,0,cililitan,0,0.0,0,1.0,0,14.0,0,80,80,330
367,0,cililitan,0,0.0,0,8.0,0,53.0,0,100,125,330
368,0,cililitan,0,0.0,0,39.0,0,94.0,0,100,100,330
369,0,cililitan,0,0.0,0,25.0,0,30.0,0,110,100,440
370,0,cililitan,0,0.0,0,15.0,0,67.0,0,90,90,330
371,0,cililitan,0,0.0,0,25.0,0,37.0,0,90,105,330
372,0,cililitan,0,0.0,0,44.0,0,159.0,0,105,105,330
373,0,cililitan,0,0.0,0,17.0,0,25.0,0,155,160,450
374,0,cililitan,0,0.0,0,0.0,0,22.0,0,90,100,330
375,0,cililitan,0,0.0,0,0.0,0,33.0,0,95,80,330
376,0,cililitan,0,0.0,0,0.0,0,2.5,0,80,70,330
377,0,cililitan,0,0.0,0,0.0,0,0.0,0,75,50,330
