Kejadian,KELURAHAN,KECAMATAN,LUAS WILAYAH,KETINGGIAN WILAYAH,RAIN_D-1,RAINFALL_D-1,RAIN_LAST3D,ARAINFALL_LAST3D,RAIN_LAST7D,RAINFALL_LAST7D,TEPS_OF_DAY,CIPINANG HULU,STATUS_CIPINANG HULU,SUNTER HULU,STATUS_SUNTER HULU,PULO GADUNG,STATUS_PULO GADUNG
BANJIR,RAWA TERATE,Cakung,4.1,4,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,JATINEGARA,Cakung,6.6,11,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,CAWANG,Kramatjati (Kramat Jati),1.79,21,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,CILILITAN,Kramatjati (Kramat Jati),1.8,26,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,BATU AMPAR,Kramatjati (Kramat Jati),2.55,29,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,UTAN KAYU UTARA,Matraman,1.05,6,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,RAWAMANGUN,Pulogadung (Pulo Gadung),2.6,7,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,PISANGAN TIMUR,Pulogadung (Pulo Gadung),1.8,9,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,PULO GADUNG,Pulogadung (Pulo Gadung),1.92,4,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,KAYU PUTIH,Pulogadung (Pulo Gadung),4.37,2,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,PISANGAN BARU,Matraman,0.66,13,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,PONDOK BAMBU,Duren Sawit,4.99,12,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,KLENDER,Duren Sawit,3.08,10,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,DUREN SAWIT,Duren Sawit,4.58,17,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,CIPINANG MELAYU,Makasar,2.53,23,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,KEBON PALA,Makasar,2.3,17,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,PINANGRANTI,Makasar,1.89,30,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,MAKASAR,Makasar,1.85,22,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,NORMAL,130,NORMAL,690,WASPADA
BANJIR,KAMPUNG MELAYU,Jatinegara,0.48,10,YES,31,NO,72,NO,157,HUJAN SEDANG,125,NORMAL,150,WASPADA,750,SIAGA
BANJIR,RAWA BUNGA,Jatinegara,0.88,12,YES,31,NO,72,NO,157,HUJAN SEDANG,125,NORMAL,150,WASPADA,750,SIAGA
BANJIR,CIPINANG CEMPEDAK,Jatinegara,1.67,18,YES,31,NO,72,NO,157,HUJAN SEDANG,125,NORMAL,150,WASPADA,750,SIAGA
BANJIR,BIDARA CINA,Jatinegara,1.26,19,YES,31,NO,72,NO,157,HUJAN SEDANG,125,NORMAL,150,WASPADA,750,SIAGA
BANJIR,CAKUNG TIMUR,Cakung,9.81,4,YES,31,NO,72,NO,157,HUJAN SEDANG,125,NORMAL,150,WASPADA,750,SIAGA
BANJIR,PENGGILINGAN,Cakung,4.48,7,YES,31,NO,72,NO,157,HUJAN SEDANG,125,NORMAL,150,WASPADA,750,SIAGA
BANJIR,RAWA TERATE,Cakung,4.1,4,YES,31,NO,72,NO,157,HUJAN SEDANG,125,NORMAL,150,WASPADA,750,SIAGA
BANJIR,JATINEGARA,Cakung,6.6,11,YES,31,NO,72,NO,157,HUJAN SEDANG,125,NORMAL,150,WASPADA,750,SIAGA
BANJIR,CAWANG,Kramatjati (Kramat Jati),1.79,21,YES,31,NO,72,NO,157,HUJAN SEDANG,125,NORMAL,150,WASPADA,750,SIAGA
BANJIR,CILILITAN,Kramatjati (Kramat Jati),1.8,26,YES,31,NO,72,NO,157,HUJAN SEDANG,125,NORMAL,150,WASPADA,750,SIAGA
BANJIR,BATU AMPAR,Kramatjati (Kramat Jati),2.55,29,YES,31,NO,72,NO,157,HUJAN SEDANG,125,NORMAL,150,WASPADA,750,SIAGA
BANJIR,UTAN KAYU UTARA,Matraman,1.05,6,YES,31,NO,72,NO,157,HUJAN SEDANG,125,NORMAL,150,WASPADA,750,SIAGA
