Kejadian,KELURAHAN,RAIN_D-1,RAINFALL_D-1,RAIN_LAST3D,ARAINFALL_LAST3D,RAIN_LAST7D,RAINFALL_LAST7D,TEPS_OF_DAY,CIPINANG HULU,SUNTER HULU,PULO GADUNG
BANJIR,RAWA BUNGA,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,RAWA BUNGA,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,RAWA BUNGA,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,RAWA TERATE,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,RAWA TERATE,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,RAWA TERATE,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,RAWAMANGUN,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,RAWAMANGUN,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,SUSUKAN,YES,2,NO,0,NO,136.5,HUJAN RINGAN,100,100,330
BANJIR,SUSUKAN,NO,0,NO,9,NO,137,TIDAK HUJAN,90,80,330
BANJIR,SUSUKAN,YES,39.8,YES,26.3,YES,101.8,HUJAN SEDANG,115,200,735
BANJIR,Utan Kayu Selatan,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,UTAN KAYU UTARA,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,UTAN KAYU UTARA,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,77,NO,160,TIDAK HUJAN,80,100,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,17,NO,79,TIDAK HUJAN,80,100,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,0,NO,0,TIDAK HUJAN,90,100,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,0,NO,10,TIDAK HUJAN,75,80,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,0,NO,0,TIDAK HUJAN,110,115,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,0,NO,0,TIDAK HUJAN,80,90,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,7,NO,19,TIDAK HUJAN,85,80,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,34,NO,34,TIDAK HUJAN,75,80,330
TIDAK BANJIR,BALEKAMBANG,NO,0,NO,4,NO,6,TIDAK HUJAN,95,110,330
